"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"";"9070-1W";"9070-1W";"S1, S2";"TOGGLE SWITCH";"";
"1";"";"LED3MM";"LED3MM";"LED1";"LED";"";
"12";"";"PINHD-1X1";"1X01";"BAT-, OUT_G, OUT_GND, OUT_S, OUT_SIG_H, OUT_SIG_L, TP_F1, TP_F2, TP_GND, TP_GND1, V+, V-";"PIN HEADER";"";
"5";"";"R-EU_0207/2V";"0207/2V";"R1, R16, R17, R18, R19";"RESISTOR, European symbol";"";
"1";"100n";"C-EU025_050-025X075";"C025_050-025X075";"C1";"CAPACITOR, European symbol";"";
"4";"10k";"R-EU_0207/2V";"0207/2V";"R12, R13, R20, R21";"RESISTOR, European symbol";"";
"3";"10n";"C-EU025_050-025X075";"C025_050-025X075";"C3, C4, C8";"CAPACITOR, European symbol";"";
"1";"10u";"CPOL-EUE2.5-5";"E2,5-5";"C15";"POLARIZED CAPACITOR, European symbol";"";
"2";"1u";"C-EU025_050-025X075";"C025_050-025X075";"C5, C11";"CAPACITOR, European symbol";"";
"1";"220u";"CPOL-EUE5-10.5";"E5-10,5";"C16";"POLARIZED CAPACITOR, European symbol";"";
"1";"22k";"R-EU_0207/2V";"0207/2V";"R26";"RESISTOR, European symbol";"";
"3";"22k";"R-TRIMM_414S6";"SPINDLE_414S6";"R2, R8, R14";"";"";
"3";"22n";"C-EU025_050-025X075";"C025_050-025X075";"C2, C6, C7";"CAPACITOR, European symbol";"";
"2";"2k2";"R-EU_0207/2V";"0207/2V";"R5, R11";"RESISTOR, European symbol";"";
"3";"2n3904";"2N3904-NPN-TO92-EBC";"TO92-EBC";"T1, T2, T3";"NPN Transistror";"";
"1";"33k";"R-EU_0207/10";"0207/10";"R9";"RESISTOR, European symbol";"";
"1";"33k";"R-EU_0207/2V";"0207/2V";"R10";"RESISTOR, European symbol";"";
"4";"3n3";"C-EU025_050-025X075";"C025_050-025X075";"C3B, C4B, C12, C13";"CAPACITOR, European symbol";"";
"1";"47k";"R-EU_0207/10";"0207/10";"R3";"RESISTOR, European symbol";"";
"1";"47k";"R-EU_0207/2V";"0207/2V";"R4";"RESISTOR, European symbol";"";
"2";"4k7";"R-EU_0207/2V";"0207/2V";"R6, R7";"RESISTOR, European symbol";"";
"2";"4n7";"C-EU025_050-025X075";"C025_050-025X075";"C9, C10";"CAPACITOR, European symbol";"";
"3";"560";"R-EU_0207/2V";"0207/2V";"R22, R23, R25";"RESISTOR, European symbol";"";
"1";"5k6";"R-EU_0207/2V";"0207/2V";"R24";"RESISTOR, European symbol";"";
"2";"n/a";"C-EU025_050-025X075";"C025_050-025X075";"C10B, C14";"CAPACITOR, European symbol";"";
